precinct,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dec
001,39,41,53,45,39,44,44,42,42,43,36,42
005,56,53,52,39,40,63,62,57,42,41,45,62
006,19,24,25,27,32,35,30,37,24,33,16,30
007,112,115,122,118,134,131,123,111,76,93,105,138
009,99,81,114,119,113,111,102,108,127,104,120,128
010,68,59,67,53,66,83,67,55,66,86,75,86
013,60,62,55,60,62,63,65,67,52,40,57,65
014,49,36,62,52,52,57,50,72,54,43,55,37
017,44,44,44,40,44,28,40,26,26,53,54,43
018,62,53,75,53,74,67,58,68,86,53,66,67
019,93,68,74,88,92,93,76,101,79,95,85,88
020,57,52,38,47,52,54,38,35,41,42,41,47
022,1,0,1,2,1,0,1,2,5,0,0,0
023,290,256,263,301,300,308,293,300,245,253,270,290
024,126,111,109,117,128,138,157,104,118,126,133,131
025,174,179,172,174,208,197,206,196,184,185,170,183
026,94,93,87,101,83,92,102,82,79,83,79,98
028,101,107,118,126,162,145,123,108,113,128,116,97
030,121,103,107,111,126,132,124,135,104,123,98,120
032,335,310,328,303,310,299,350,339,318,349,331,317
033,96,92,122,90,115,141,105,114,122,99,83,110
034,145,142,134,135,136,154,132,164,158,166,149,169
040,499,501,516,535,553,574,516,555,503,488,487,512
041,255,196,260,243,250,249,277,247,249,286,300,250
042,496,417,486,544,522,531,515,509,526,505,502,557
043,623,538,617,622,593,635,699,621,560,573,628,630
044,448,438,529,510,586,564,552,504,568,479,505,517
045,214,197,215,250,241,228,280,205,203,222,222,244
046,613,557,610,551,573,615,622,583,588,579,611,629
047,566,535,572,588,630,596,691,622,599,536,567,536
048,481,424,417,436,412,394,445,361,412,422,427,449
049,318,286,297,327,350,343,353,286,308,305,321,310
050,147,155,172,147,157,174,174,155,117,142,135,153
052,463,416,438,480,502,492,501,493,449,427,421,439
060,235,201,214,244,225,279,241,225,241,198,205,225
061,187,131,174,169,166,160,194,156,177,141,187,182
062,145,160,162,181,188,146,166,163,146,143,125,156
063,157,161,176,140,152,142,162,159,161,162,163,179
066,105,86,113,91,124,100,106,103,110,116,112,97
067,382,362,408,383,382,423,447,405,365,364,372,369
068,95,87,99,123,97,101,100,116,105,110,112,108
069,239,197,211,209,226,264,269,240,245,237,249,227
070,231,200,213,215,224,218,242,244,228,219,240,241
071,185,164,198,193,209,217,179,201,192,178,171,166
072,117,117,89,129,159,135,134,116,105,140,124,114
073,520,444,527,488,566,516,536,516,481,480,565,521
075,656,647,665,639,750,727,734,709,699,684,690,711
076,98,75,87,87,87,91,89,86,83,113,80,119
077,244,231,228,285,241,239,251,233,214,248,233,267
078,58,43,55,53,75,73,68,64,56,63,56,66
079,233,223,247,241,243,252,249,249,234,256,220,258
081,241,255,223,212,265,274,267,260,243,221,196,255
083,218,203,221,237,289,280,261,242,280,268,219,275
084,67,68,74,65,60,73,70,71,65,77,56,55
088,136,104,116,106,136,144,123,134,126,102,125,127
090,180,180,168,183,170,177,196,161,171,158,191,167
094,56,70,51,55,60,59,56,54,61,45,35,50
100,129,72,103,105,120,135,100,130,125,99,113,111
101,271,188,280,222,270,263,316,248,252,269,237,254
102,215,184,197,213,229,207,289,259,244,243,244,224
103,285,266,334,319,345,371,354,307,307,285,292,357
104,199,165,211,199,192,220,200,182,189,186,222,193
105,284,271,290,291,332,368,364,322,304,309,299,327
106,235,194,251,227,247,284,290,272,231,212,231,254
107,185,134,182,161,180,190,182,217,207,208,159,189
108,132,113,103,117,106,136,120,102,121,109,118,143
109,192,169,207,189,217,217,213,206,223,209,210,196
110,183,147,201,154,200,190,197,220,200,177,183,190
111,58,55,62,60,62,56,53,73,59,65,69,61
112,70,79,99,70,96,78,93,76,73,83,76,96
113,281,274,283,295,347,356,343,324,315,281,289,347
114,264,235,266,266,325,259,272,276,266,294,272,292
115,231,186,227,193,251,235,218,221,208,221,198,204
120,352,324,374,347,368,350,377,366,336,366,332,373
121,227,179,210,213,206,225,219,216,234,231,237,215
122,153,146,179,156,180,171,192,174,196,172,152,158
123,74,72,80,59,91,95,78,95,90,84,94,88
Total,16169,14603,16209,16018,17196,17326,17583,16657,16211,16028,16063,16781
